Ticker,QuarterDate,Residual_LogMarketCap,Overvaluation_pct
SASA,2025-09-30,-6.137226168156385,-99.78390906881336
DOAS,2025-09-30,-3.4790110967832,-96.91621083506716
DOHOL,2025-09-30,-3.4728757941228814,-96.89723269641853
SISE,2025-09-30,-2.440020892690331,-91.28409695436744
AHGAZ,2025-09-30,-2.4363803073088057,-91.25230813530813
VESTL,2025-09-30,-2.1472445125694897,-88.319442897218
ASTOR,2025-09-30,-2.1289662389381334,-88.10397932601757
KRDMB,2025-09-30,-1.9295132322699688,-85.47811308585797
VESBE,2025-09-30,-1.856731186977484,-84.38176723118364
RGYAS,2025-09-30,-1.8030873415629785,-83.521065892855
