QuarterEnd,AYCES_Close_QuarterEnd
2016-03-31,2.8697
2016-06-30,2.6679
2016-09-30,2.8921
2016-12-31,2.9892
2017-03-31,2.8248
2017-06-30,4.6632
2017-09-30,4.1849
2017-12-31,3.7739
2018-03-31,3.8113
2018-06-30,3.2882
2018-09-30,2.8996
2018-12-31,3.1013
2019-03-31,3.0341
2019-06-30,3.09
2019-09-30,3.38
2019-12-31,9.99
2020-03-31,11.12
2020-06-30,36.0
2020-09-30,74.5
2020-12-31,49.96
2021-03-31,69.45
2021-06-30,68.3
2021-09-30,51.4
2021-12-31,64.2
2022-03-31,72.05
2022-06-30,61.1
2022-09-30,66.3
2022-12-31,122.0
2023-03-31,74.15
2023-06-30,148.2
2023-09-30,410.0
2023-12-31,514.0
2024-03-31,730.0
2024-06-30,664.5
2024-09-30,454.5
2024-12-31,520.5
2025-03-31,446.75
2025-06-30,480.0
2025-09-30,455.25
2025-12-31,412.0
