QuarterEnd,BTCIM_Close_QuarterEnd
2016-03-31,0.0904
2016-06-30,0.086
2016-09-30,0.0895
2016-12-31,0.0948
2017-03-31,0.0929
2017-06-30,0.0963
2017-09-30,0.1025
2017-12-31,0.1416
2018-03-31,0.1071
2018-06-30,0.1084
2018-09-30,0.0929
2018-12-31,0.0777
2019-03-31,0.0726
2019-06-30,0.0658
2019-09-30,0.0845
2019-12-31,0.1068
2020-03-31,0.0681
2020-06-30,0.11
2020-09-30,0.1255
2020-12-31,0.1519
2021-03-31,0.5152
2021-06-30,0.3819
2021-09-30,0.4213
2021-12-31,0.4839
2022-03-31,0.5284
2022-06-30,0.6129
2022-09-30,0.9652
2022-12-31,1.3452
2023-03-31,1.1065
2023-06-30,1.4148
2023-09-30,2.8194
2023-12-31,3.7613
2024-03-31,4.3258
2024-06-30,5.2871
2024-09-30,5.6194
2024-12-31,4.5645
2025-03-31,4.37
2025-06-30,4.58
2025-09-30,4.32
2025-12-31,3.81
