QuarterEnd,DOKTA_Close_QuarterEnd
2016-03-31,0.8874
2016-06-30,0.9175
2016-09-30,0.84
2016-12-31,0.8745
2017-03-31,0.8874
2017-06-30,0.9369
2017-09-30,1.6046
2017-12-31,2.3692
2018-03-31,2.5458
2018-06-30,2.3218
2018-09-30,2.4489
2018-12-31,1.7554
2019-03-31,1.9427
2019-06-30,3.2307
2019-09-30,6.5002
2019-12-31,11.6199
2020-03-31,5.607
2020-06-30,9.6497
2020-09-30,11.8234
2020-12-31,11.2433
2021-03-31,11.5223
2021-06-30,10.6852
2021-09-30,11.1037
2021-12-31,11.9336
2022-03-31,10.7733
2022-06-30,17.7683
2022-09-30,16.523
2022-12-31,30.0188
2023-03-31,20.3905
2023-06-30,25.3109
2023-09-30,43.307
2023-12-31,30.68
2024-03-31,33.26
2024-06-30,32.9
2024-09-30,23.14
2024-12-31,25.98
2025-03-31,19.71
2025-06-30,20.98
2025-09-30,25.36
2025-12-31,24.02
