QuarterEnd,ECILC_Close_QuarterEnd
2016-03-31,1.4903
2016-06-30,1.7081
2016-09-30,2.015
2016-12-31,1.9945
2017-03-31,2.3525
2017-06-30,3.4227
2017-09-30,3.1115
2017-12-31,3.1911
2018-03-31,3.1332
2018-06-30,2.5802
2018-09-30,2.8092
2018-12-31,2.084
2019-03-31,2.0611
2019-06-30,2.0191
2019-09-30,2.6807
2019-12-31,3.1876
2020-03-31,4.0983
2020-06-30,5.3351
2020-09-30,6.1122
2020-12-31,6.5138
2021-03-31,5.6319
2021-06-30,5.3092
2021-09-30,5.282
2021-12-31,6.7744
2022-03-31,8.6195
2022-06-30,9.3283
2022-09-30,13.9458
2022-12-31,30.0558
2023-03-31,25.6342
2023-06-30,35.8682
2023-09-30,52.292
2023-12-31,41.4938
2024-03-31,47.195
2024-06-30,49.5429
2024-09-30,46.1564
2024-12-31,45.9249
2025-03-31,42.3358
2025-06-30,43.68
2025-09-30,83.6
2025-12-31,81.8
