QuarterEnd,EPLAS_Close_QuarterEnd
2016-03-31,0.2365
2016-06-30,0.1854
2016-09-30,0.2861
2016-12-31,0.2847
2017-03-31,0.2613
2017-06-30,0.5985
2017-09-30,0.7722
2017-12-31,0.6832
2018-03-31,0.7956
2018-06-30,0.7591
2018-09-30,0.5474
2018-12-31,0.5606
2019-03-31,0.5839
2019-06-30,0.7299
2019-09-30,0.7722
2019-12-31,1.8247
2020-03-31,1.6058
2020-06-30,2.4232
2020-09-30,2.8174
2020-12-31,4.8611
2021-03-31,5.6931
2021-06-30,3.7312
2021-09-30,3.6757
2021-12-31,3.3312
2022-03-31,2.6714
2022-06-30,2.3648
2022-09-30,2.4875
2022-12-31,5.9793
2023-03-31,5.9325
2023-06-30,5.4946
2023-09-30,7.19
2023-12-31,5.34
2024-03-31,6.25
2024-06-30,7.2
2024-09-30,5.76
2024-12-31,6.1
2025-03-31,4.85
2025-06-30,5.39
2025-09-30,6.6
2025-12-31,5.05
