QuarterEnd,ERSU_Close_QuarterEnd
2016-03-31,1.24
2016-06-30,0.85
2016-09-30,0.77
2016-12-31,0.82
2017-03-31,0.84
2017-06-30,0.96
2017-09-30,1.39
2017-12-31,1.31
2018-03-31,1.14
2018-06-30,1.0
2018-09-30,0.96
2018-12-31,0.92
2019-03-31,0.82
2019-06-30,0.85
2019-09-30,1.35
2019-12-31,2.07
2020-03-31,3.47
2020-06-30,4.45
2020-09-30,5.42
2020-12-31,4.94
2021-03-31,4.79
2021-06-30,3.46
2021-09-30,4.21
2021-12-31,6.18
2022-03-31,5.3
2022-06-30,3.68
2022-09-30,4.4
2022-12-31,6.23
2023-03-31,5.98
2023-06-30,6.28
2023-09-30,9.19
2023-12-31,11.46
2024-03-31,43.1
2024-06-30,19.47
2024-09-30,20.56
2024-12-31,17.62
2025-03-31,14.58
2025-06-30,15.03
2025-09-30,19.1
2025-12-31,18.42
