QuarterEnd,EUYO_Close_QuarterEnd
2016-03-31,0.4048
2016-06-30,0.4418
2016-09-30,0.4771
2016-12-31,0.698
2017-03-31,0.9631
2017-06-30,0.857
2017-09-30,0.7737
2017-12-31,0.7648
2018-03-31,0.7381
2018-06-30,0.6403
2018-09-30,0.5875
2018-12-31,0.5783
2019-03-31,0.5508
2019-06-30,0.6059
2019-09-30,0.8399
2019-12-31,1.0891
2020-03-31,0.923
2020-06-30,1.5769
2020-09-30,2.08
2020-12-31,4.3632
2021-03-31,4.9049
2021-06-30,3.9375
2021-09-30,3.6643
2021-12-31,3.1436
2022-03-31,2.8587
2022-06-30,2.5542
2022-09-30,2.9337
2022-12-31,4.7635
2023-03-31,5.3204
2023-06-30,6.0563
2023-09-30,16.02
2023-12-31,12.23
2024-03-31,19.7
2024-06-30,13.44
2024-09-30,10.76
2024-12-31,15.7
2025-03-31,10.3
2025-06-30,10.09
2025-09-30,13.9
2025-12-31,13.95
