QuarterEnd,FONET_Close_QuarterEnd
2017-06-30,0.0996
2017-09-30,0.0746
2017-12-31,0.0946
2018-03-31,0.0952
2018-06-30,0.0796
2018-09-30,0.0754
2018-12-31,0.0658
2019-03-31,0.0902
2019-06-30,0.1508
2019-09-30,0.1325
2019-12-31,0.3286
2020-03-31,0.3158
2020-06-30,0.4402
2020-09-30,0.5415
2020-12-31,0.5568
2021-03-31,0.6624
2021-06-30,0.5611
2021-09-30,0.5085
2021-12-31,0.5513
2022-03-31,0.4782
2022-06-30,0.544
2022-09-30,0.494
2022-12-31,0.7543
2023-03-31,0.494
2023-06-30,0.5278
2023-09-30,0.8769
2023-12-31,0.9785
2024-03-31,3.2831
2024-06-30,2.6769
2024-09-30,2.7062
2024-12-31,2.5846
2025-03-31,2.22
2025-06-30,2.2615
2025-09-30,2.4554
2025-12-31,2.79
