QuarterEnd,KARSN_Close_QuarterEnd
2016-03-31,1.324
2016-06-30,0.977
2016-09-30,1.0135
2016-12-31,1.0035
2017-03-31,1.0964
2017-06-30,1.18
2017-09-30,1.2543
2017-12-31,1.4494
2018-03-31,2.1091
2018-06-30,1.5517
2018-09-30,1.3194
2018-12-31,1.1893
2019-03-31,1.3937
2019-06-30,1.1335
2019-09-30,1.0778
2019-12-31,1.58
2020-03-31,1.26
2020-06-30,2.93
2020-09-30,3.11
2020-12-31,3.25
2021-03-31,3.92
2021-06-30,3.66
2021-09-30,3.62
2021-12-31,3.44
2022-03-31,5.5
2022-06-30,6.84
2022-09-30,8.24
2022-12-31,12.49
2023-03-31,8.08
2023-06-30,9.37
2023-09-30,12.29
2023-12-31,8.53
2024-03-31,10.07
2024-06-30,16.44
2024-09-30,17.25
2024-12-31,12.11
2025-03-31,11.25
2025-06-30,9.25
2025-09-30,10.51
2025-12-31,9.2
