QuarterEnd,KUTPO_Close_QuarterEnd
2016-03-31,3.8637
2016-06-30,4.5523
2016-09-30,8.7381
2016-12-31,7.0889
2017-03-31,6.4234
2017-06-30,5.9446
2017-09-30,5.6704
2017-12-31,7.0219
2018-03-31,5.8467
2018-06-30,5.3178
2018-09-30,5.4647
2018-12-31,4.55
2019-03-31,4.16
2019-06-30,4.81
2019-09-30,5.39
2019-12-31,6.62
2020-03-31,6.59
2020-06-30,35.08
2020-09-30,29.54
2020-12-31,50.45
2021-03-31,53.75
2021-06-30,57.6
2021-09-30,60.8
2021-12-31,115.0
2022-03-31,46.98
2022-06-30,42.0
2022-09-30,41.7
2022-12-31,62.95
2023-03-31,43.82
2023-06-30,48.78
2023-09-30,71.55
2023-12-31,54.65
2024-03-31,93.5
2024-06-30,94.35
2024-09-30,80.95
2024-12-31,77.0
2025-03-31,77.65
2025-06-30,79.35
2025-09-30,124.5
2025-12-31,104.6
