QuarterEnd,LINK_Close_QuarterEnd
2016-03-31,3.2865
2016-06-30,3.1278
2016-09-30,2.9556
2016-12-31,2.7652
2017-03-31,2.7969
2017-06-30,3.2275
2017-09-30,3.1459
2017-12-31,6.4641
2018-03-31,5.825
2018-06-30,4.4651
2018-09-30,4.2475
2018-12-31,3.7715
2019-03-31,6.1831
2019-06-30,4.3019
2019-09-30,5.1994
2019-12-31,8.2275
2020-03-31,9.8277
2020-06-30,11.2148
2020-09-30,18.4412
2020-12-31,29.1574
2021-03-31,37.23
2021-06-30,27.6291
2021-09-30,26.1157
2021-12-31,25.7834
2022-03-31,30.3052
2022-06-30,28.3314
2022-09-30,31.5283
2022-12-31,54.5571
2023-03-31,43.0714
2023-06-30,55.15
2023-09-30,108.9
2023-12-31,208.8
2024-03-31,384.0
2024-06-30,589.5
2024-09-30,545.0
2024-12-31,497.0
2025-03-31,520.0
2025-06-30,660.5
2025-09-30,342.25
2025-12-31,216.9
