QuarterEnd,MEDTR_Close_QuarterEnd
2021-09-30,8.4003
2021-12-31,12.7113
2022-03-31,12.2088
2022-06-30,17.7517
2022-09-30,24.0143
2022-12-31,37.6883
2023-03-31,25.9513
2023-06-30,35.4406
2023-09-30,42.379
2023-12-31,27.4379
2024-03-31,32.5037
2024-06-30,34.5536
2024-09-30,45.8481
2024-12-31,52.4697
2025-03-31,38.8812
2025-06-30,31.7199
2025-09-30,31.815
2025-12-31,28.76
