QuarterEnd,NUGYO_Close_QuarterEnd
2016-03-31,4.16
2016-06-30,4.27
2016-09-30,4.75
2016-12-31,4.12
2017-03-31,4.63
2017-06-30,5.09
2017-09-30,4.47
2017-12-31,4.75
2018-03-31,5.11
2018-06-30,3.82
2018-09-30,3.06
2018-12-31,2.1
2019-03-31,2.13
2019-06-30,2.47
2019-09-30,2.62
2019-12-31,3.57
2020-03-31,2.64
2020-06-30,4.6
2020-09-30,6.86
2020-12-31,7.29
2021-03-31,17.02
2021-06-30,12.62
2021-09-30,8.5
2021-12-31,5.8
2022-03-31,5.57
2022-06-30,5.02
2022-09-30,4.7
2022-12-31,8.68
2023-03-31,5.24
2023-06-30,6.12
2023-09-30,8.27
2023-12-31,6.0
2024-03-31,6.88
2024-06-30,9.02
2024-09-30,7.83
2024-12-31,7.34
2025-03-31,6.65
2025-06-30,7.67
2025-09-30,10.34
2025-12-31,11.1
