QuarterEnd,PETUN_Close_QuarterEnd
2016-03-31,0.8647
2016-06-30,0.8912
2016-09-30,0.8448
2016-12-31,0.8786
2017-03-31,0.9081
2017-06-30,0.9093
2017-09-30,0.8962
2017-12-31,0.9046
2018-03-31,0.9223
2018-06-30,0.7803
2018-09-30,0.5975
2018-12-31,0.5031
2019-03-31,0.6437
2019-06-30,0.6452
2019-09-30,0.7655
2019-12-31,1.0399
2020-03-31,1.1567
2020-06-30,2.1648
2020-09-30,3.0051
2020-12-31,2.7408
2021-03-31,2.5901
2021-06-30,2.1767
2021-09-30,1.9726
2021-12-31,2.4335
2022-03-31,2.9307
2022-06-30,2.8956
2022-09-30,4.756
2022-12-31,9.6302
2023-03-31,7.1602
2023-06-30,7.2982
2023-09-30,11.9337
2023-12-31,8.9015
2024-03-31,11.6549
2024-06-30,12.0286
2024-09-30,10.24
2024-12-31,10.19
2025-03-31,8.4
2025-06-30,9.45
2025-09-30,12.95
2025-12-31,11.2
