QuarterEnd,TRCAS_Close_QuarterEnd
2016-03-31,1.2742
2016-06-30,1.3657
2016-09-30,1.4125
2016-12-31,1.3657
2017-03-31,1.796
2017-06-30,1.8615
2017-09-30,2.3853
2017-12-31,2.3393
2018-03-31,2.3786
2018-06-30,1.7004
2018-09-30,1.5725
2018-12-31,1.312
2019-03-31,1.3027
2019-06-30,1.2562
2019-09-30,1.7772
2019-12-31,2.4844
2020-03-31,1.8796
2020-06-30,3.0613
2020-09-30,3.4986
2020-12-31,4.5129
2021-03-31,4.1314
2021-06-30,3.1543
2021-09-30,3.2288
2021-12-31,3.6568
2022-03-31,4.913
2022-06-30,7.1182
2022-09-30,13.3525
2022-12-31,21.9781
2023-03-31,12.6918
2023-06-30,12.8407
2023-09-30,27.1329
2023-12-31,17.9584
2024-03-31,23.6901
2024-06-30,27.4307
2024-09-30,21.5686
2024-12-31,26.5773
2025-03-31,32.7368
2025-06-30,33.4262
2025-09-30,35.8568
2025-12-31,41.88
