QuarterEnd,TURGG_Close_QuarterEnd
2016-03-31,2.1835
2016-06-30,2.2104
2016-09-30,2.0515
2016-12-31,1.9352
2017-03-31,2.0437
2017-06-30,2.2652
2017-09-30,2.2093
2017-12-31,2.1008
2018-03-31,2.1813
2018-06-30,1.8647
2018-09-30,1.6198
2018-12-31,1.7976
2019-03-31,1.4654
2019-06-30,1.3848
2019-09-30,1.5549
2019-12-31,2.3491
2020-03-31,1.7171
2020-06-30,2.7909
2020-09-30,4.6255
2020-12-31,6.3146
2021-03-31,7.1144
2021-06-30,6.9913
2021-09-30,7.3101
2021-12-31,7.1759
2022-03-31,12.1202
2022-06-30,11.3987
2022-09-30,10.8506
2022-12-31,18.5634
2023-03-31,11.1246
2023-06-30,11.9804
2023-09-30,19.1059
2023-12-31,26.3154
2024-03-31,37.921
2024-06-30,33.8381
2024-09-30,25.8819
2024-12-31,30.7339
2025-03-31,24.6095
2025-06-30,27.3921
2025-09-30,30.5
2025-12-31,26.82
