QuarterEnd,VESBE_Close_QuarterEnd
2016-03-31,0.7009
2016-06-30,0.5641
2016-09-30,0.7975
2016-12-31,0.7706
2017-03-31,0.8219
2017-06-30,0.7887
2017-09-30,0.6846
2017-12-31,0.6638
2018-03-31,0.7838
2018-06-30,0.8807
2018-09-30,0.8024
2018-12-31,0.9409
2019-03-31,1.3229
2019-06-30,1.7147
2019-09-30,1.4604
2019-12-31,2.0808
2020-03-31,1.5587
2020-06-30,2.5047
2020-09-30,2.7654
2020-12-31,4.0317
2021-03-31,6.0555
2021-06-30,4.7258
2021-09-30,5.279
2021-12-31,7.1578
2022-03-31,7.2123
2022-06-30,8.5793
2022-09-30,8.5413
2022-12-31,13.1068
2023-03-31,9.559
2023-06-30,11.7466
2023-09-30,16.2309
2023-12-31,15.4213
2024-03-31,18.361
2024-06-30,20.626
2024-09-30,17.2476
2024-12-31,16.8791
2025-03-31,12.9257
2025-06-30,9.3707
2025-09-30,11.24
2025-12-31,7.8
