QuarterEnd,YAPRK_Close_QuarterEnd
2016-03-31,0.9996
2016-06-30,0.904
2016-09-30,0.8227
2016-12-31,0.7653
2017-03-31,0.9183
2017-06-30,1.2866
2017-09-30,1.3201
2017-12-31,1.1909
2018-03-31,1.1383
2018-06-30,1.0174
2018-09-30,1.0369
2018-12-31,1.3582
2019-03-31,1.217
2019-06-30,1.2219
2019-09-30,1.7623
2019-12-31,3.0523
2020-03-31,3.3152
2020-06-30,4.8049
2020-09-30,28.6154
2020-12-31,35.3241
2021-03-31,52.5958
2021-06-30,34.2786
2021-09-30,28.9689
2021-12-31,28.6566
2022-03-31,31.6237
2022-06-30,29.3636
2022-09-30,30.3405
2022-12-31,46.9662
2023-03-31,39.679
2023-06-30,82.9655
2023-09-30,123.0075
2023-12-31,210.8416
2024-03-31,397.4395
2024-06-30,477.6725
2024-09-30,420.374
2024-12-31,649.5327
2025-03-31,656.023
2025-06-30,268.6
2025-09-30,288.0
2025-12-31,268.0
