QuarterEnd,YESIL_Close_QuarterEnd
2016-03-31,0.0192
2016-06-30,0.0178
2016-09-30,0.0181
2016-12-31,0.0185
2017-03-31,0.0438
2017-06-30,0.0849
2017-09-30,0.1271
2017-12-31,0.3612
2018-03-31,0.4741
2018-06-30,0.3326
2018-09-30,0.2506
2018-12-31,0.2174
2019-03-31,0.1951
2019-06-30,0.2456
2019-09-30,0.2352
2019-12-31,0.2535
2020-03-31,0.1905
2020-06-30,0.356
2020-09-30,0.6123
2020-12-31,2.1527
2021-03-31,2.4202
2021-06-30,1.2585
2021-09-30,1.0571
2021-12-31,0.9112
2022-03-31,0.8507
2022-06-30,0.7098
2022-09-30,0.7551
2022-12-31,2.7385
2023-03-31,1.9482
2023-06-30,2.0992
2023-09-30,2.4063
2023-12-31,1.9683
2024-03-31,1.9784
2024-06-30,2.2099
2024-09-30,1.4
2024-12-31,1.97
2025-03-31,1.46
2025-06-30,1.43
2025-09-30,2.47
2025-12-31,1.96
